char_id,era,strength,gender,final_age,final_asset,final_health,final_happiness,final_status,final_humanity,peak_brain,peak_body,peak_social,peak_sense,peak_luck,death_cause,reached_age_80,bankrupt,events_fired
sim_482,昭和,頭脳,男,75,1250000,12,100,33,0,77,15,7,6,10,寿命,0,0,0
sim_483,令和,肉体,女,84,3650000,0,100,33,0,15,93,6,9,7,病死,1,0,0
sim_484,令和,コミュ,女,77,2600000,0,100,33,0,6,6,78,6,10,病死,0,0,0
sim_485,令和,頭脳,男,79,2900000,0,100,33,0,83,13,10,10,14,病死,0,0,0
sim_486,令和,コミュ,男,77,2600000,0,100,33,0,9,8,81,7,5,病死,0,0,0
sim_487,令和,コミュ,女,78,2750000,0,100,33,0,6,12,87,9,13,病死,0,0,0
sim_488,近未来,コミュ,女,77,5710000,0,100,33,0,12,11,86,14,11,病死,0,0,0
sim_489,令和,頭脳,男,78,2750000,0,100,33,0,78,5,5,9,8,病死,0,0,0
sim_490,令和,頭脳,女,22,50000,100,100,28,0,41,5,15,5,12,老衰,0,0,0
sim_491,昭和,運,男,77,1410000,1,100,33,50,14,10,11,14,28,寿命,0,0,0
sim_492,令和,運,男,78,2750000,0,100,33,50,6,13,11,14,26,病死,0,0,0
sim_493,近未来,肉体,男,84,7320000,0,100,33,0,5,80,15,14,11,病死,1,0,0
sim_494,平成,センス,女,78,2390000,0,100,33,0,11,15,8,86,9,病死,0,0,0
sim_495,昭和,頭脳,男,77,1410000,0,100,33,0,85,7,12,10,7,病死,0,0,0
sim_496,近未来,頭脳,男,79,6170000,0,100,33,0,81,10,6,12,13,病死,0,0,0
sim_497,平成,センス,男,78,2390000,0,100,33,0,11,9,5,80,15,病死,0,0,0
sim_498,昭和,頭脳,男,79,1570000,0,100,33,0,83,15,13,11,13,病死,0,0,0
sim_499,近未来,運,女,76,5480000,0,100,33,50,15,5,11,6,21,病死,0,0,0
sim_500,令和,コミュ,男,77,2600000,0,100,33,0,6,6,81,10,13,病死,0,0,0
sim_501,昭和,運,女,79,1570000,0,100,33,50,13,14,13,6,21,病死,0,0,0
sim_502,近未来,運,女,78,5940000,0,100,33,50,5,13,11,6,28,病死,0,0,0
sim_503,平成,肉体,男,84,3170000,0,100,33,0,12,88,6,10,5,病死,1,0,0
sim_504,令和,センス,女,78,2750000,0,100,33,0,10,11,6,87,5,病死,0,0,0
sim_505,昭和,コミュ,男,77,1410000,0,100,33,0,15,6,87,13,12,病死,0,0,0
sim_506,平成,頭脳,男,79,2520000,0,100,33,0,78,12,6,14,9,病死,0,0,0
sim_507,近未来,コミュ,女,72,4560000,30,100,32,0,15,11,79,8,9,老衰,0,0,0
sim_508,令和,運,男,78,2750000,0,100,33,50,6,12,8,9,24,病死,0,0,0
sim_509,近未来,運,女,78,5940000,0,100,33,50,5,15,11,14,23,病死,0,0,0
sim_510,令和,コミュ,女,78,2750000,0,100,33,0,10,6,84,5,12,病死,0,0,0
sim_511,令和,運,女,77,2600000,0,100,33,50,9,7,9,5,24,病死,0,0,0
sim_512,近未来,肉体,男,87,8010000,0,100,34,0,10,79,5,7,12,病死,1,0,0
sim_513,昭和,センス,女,73,1090000,10,100,33,0,7,12,9,81,9,寿命,0,0,0
sim_514,平成,コミュ,女,79,2520000,0,100,33,0,6,5,86,13,6,病死,0,0,0
sim_515,昭和,センス,女,73,1090000,19,100,33,0,5,10,9,80,13,寿命,0,0,0
sim_516,令和,コミュ,男,79,2900000,0,100,33,0,12,10,81,5,13,病死,0,0,0
sim_517,近未来,コミュ,女,79,6170000,0,100,33,0,10,10,78,14,5,病死,0,0,0
sim_518,令和,頭脳,女,76,2450000,18,100,33,0,75,10,8,5,5,寿命,0,0,0
sim_519,昭和,コミュ,男,78,1490000,0,100,33,0,8,10,84,15,13,病死,0,0,0
sim_520,昭和,肉体,男,85,2050000,0,100,34,0,9,77,14,10,13,病死,1,0,0
sim_521,令和,運,女,77,2600000,0,100,33,50,7,9,9,7,22,病死,0,0,0
sim_522,令和,肉体,女,85,3800000,0,100,34,0,8,77,15,14,13,病死,1,0,0
sim_523,平成,コミュ,男,77,2260000,0,100,33,0,13,5,89,15,8,病死,0,0,0
sim_524,令和,頭脳,男,78,2750000,0,100,33,0,78,5,7,11,5,病死,0,0,0
sim_525,令和,運,女,77,2600000,0,100,33,50,13,10,9,11,28,病死,0,0,0
sim_526,令和,コミュ,男,78,2750000,3,100,33,0,8,6,85,6,7,寿命,0,0,0
sim_527,平成,頭脳,女,77,2260000,8,100,33,0,76,15,6,14,8,寿命,0,0,0
sim_528,近未来,センス,男,79,6170000,0,100,33,0,8,7,9,81,5,病死,0,0,0
sim_529,昭和,コミュ,女,78,1490000,0,100,33,0,12,14,81,8,15,病死,0,0,0
sim_530,近未来,肉体,男,84,7320000,0,100,33,0,8,86,14,5,5,病死,1,0,0
sim_531,令和,頭脳,女,80,3050000,0,100,33,0,73,14,15,13,7,病死,1,0,0
