char_id,era,strength,gender,final_age,final_asset,final_health,final_happiness,final_status,final_humanity,peak_brain,peak_body,peak_social,peak_sense,peak_luck,death_cause,reached_age_80,bankrupt,events_fired
sim_494,昭和,肉体,男,98,3090000,11,100,35,0,7,100,10,10,5,寿命,1,0,98
sim_495,近未来,コミュ,女,93,9390000,0,100,34,0,12,10,93,10,13,病死,1,0,93
sim_496,平成,センス,女,93,4340000,8,100,34,0,8,14,11,90,7,寿命,1,0,93
sim_497,近未来,コミュ,男,92,9160000,0,100,34,0,15,11,86,13,8,病死,1,0,92
sim_498,平成,肉体,女,89,3820000,46,100,34,0,12,76,12,7,6,寿命,1,0,89
sim_499,平成,センス,男,92,4210000,0,100,34,0,12,12,14,94,9,病死,1,0,92
sim_500,昭和,頭脳,男,82,1810000,35,100,33,0,86,8,9,11,9,寿命,1,0,82
sim_501,令和,コミュ,男,50,50000,100,100,31,0,10,15,68,6,9,老衰,0,0,50
sim_502,近未来,コミュ,男,87,8010000,8,100,34,0,11,14,91,7,6,寿命,1,0,87
sim_503,近未来,頭脳,女,92,9160000,0,100,34,0,100,9,7,14,7,病死,1,0,92
sim_504,平成,頭脳,男,80,2650000,35,100,33,0,80,11,10,7,11,寿命,1,0,80
sim_505,平成,頭脳,男,90,3950000,14,100,34,0,90,10,6,9,6,寿命,1,0,90
sim_506,令和,肉体,男,99,5900000,12,100,35,0,7,92,9,9,11,寿命,1,0,99
sim_507,昭和,肉体,男,92,2610000,29,100,34,0,8,91,14,5,14,寿命,1,0,92
sim_508,近未来,運,男,92,9160000,0,100,34,50,11,6,8,11,66,病死,1,0,92
sim_509,令和,運,男,92,4850000,0,100,34,50,12,14,6,9,58,病死,1,0,92
sim_510,平成,頭脳,男,87,3560000,11,100,34,0,90,11,11,15,12,寿命,1,0,87
sim_511,平成,運,男,99,5120000,0,100,35,50,15,15,12,12,65,病死,1,0,99
sim_512,近未来,肉体,男,98,10540000,13,100,35,0,15,95,8,5,12,寿命,1,0,98
sim_513,昭和,運,女,92,2610000,0,100,34,50,5,6,6,11,58,病死,1,0,92
sim_514,令和,肉体,男,93,5000000,28,100,34,0,6,92,9,10,14,寿命,1,0,93
sim_515,昭和,運,男,92,2610000,0,100,34,50,15,8,15,10,63,病死,1,0,92
sim_516,令和,肉体,男,90,4550000,33,100,34,0,11,89,8,5,14,寿命,1,0,90
sim_517,令和,肉体,女,105,6800000,0,100,35,0,10,89,7,9,10,病死,1,0,105
sim_518,昭和,肉体,男,76,1330000,61,100,33,0,9,71,9,13,6,寿命,0,0,76
sim_519,平成,肉体,女,107,6160000,0,100,35,0,15,97,6,7,11,病死,1,0,107
sim_520,令和,頭脳,女,91,4700000,0,100,34,0,91,7,15,11,6,病死,1,0,91
sim_521,近未来,運,男,93,9390000,0,100,34,50,6,8,8,10,59,病死,1,0,93
sim_522,令和,コミュ,女,84,3650000,29,100,33,0,7,9,86,14,5,寿命,1,0,84
sim_523,令和,肉体,女,90,4550000,37,100,34,0,12,85,5,10,12,寿命,1,0,90
sim_524,昭和,コミュ,男,85,2050000,20,100,34,0,6,10,92,15,7,寿命,1,0,85
sim_525,令和,頭脳,男,94,5150000,0,100,34,0,96,7,5,15,5,病死,1,0,94
sim_526,昭和,頭脳,男,92,2610000,0,100,34,0,90,15,14,15,14,病死,1,0,92
sim_527,令和,運,女,89,4400000,0,100,34,50,11,10,11,7,58,病死,1,0,89
sim_528,令和,肉体,男,97,5600000,26,100,35,0,14,88,5,5,11,寿命,1,0,97
sim_529,近未来,運,男,91,8930000,0,100,34,50,7,11,6,5,61,病死,1,0,91
sim_530,令和,コミュ,女,94,5150000,0,100,34,0,9,10,88,11,12,病死,1,0,94
sim_531,平成,頭脳,女,90,3950000,20,100,34,0,88,6,10,15,9,寿命,1,0,90
sim_532,昭和,頭脳,男,91,2530000,0,100,34,0,88,5,8,9,13,病死,1,0,91
sim_533,近未来,肉体,女,103,11690000,0,100,35,0,11,100,8,7,7,病死,1,0,103
sim_534,令和,コミュ,男,92,4850000,0,100,34,0,11,12,92,14,12,病死,1,0,92
sim_535,令和,コミュ,男,76,2450000,48,100,33,0,9,14,70,7,6,老衰,0,0,76
sim_536,平成,肉体,女,88,3690000,41,100,34,0,9,82,12,6,6,寿命,1,0,88
sim_537,令和,運,男,92,4850000,0,100,34,50,6,11,10,13,53,病死,1,0,92
sim_538,近未来,頭脳,女,89,8470000,0,100,34,0,100,12,11,7,11,病死,1,0,89
sim_539,令和,頭脳,男,81,3200000,32,100,33,0,80,13,8,12,6,老衰,1,0,81
sim_540,昭和,運,女,88,2290000,10,100,34,50,15,5,14,6,55,寿命,1,0,88
sim_541,令和,コミュ,女,83,3500000,23,100,33,0,12,6,90,10,10,寿命,1,0,83
sim_542,平成,センス,男,94,4470000,0,100,34,0,8,13,5,93,15,病死,1,0,94
sim_543,平成,肉体,女,95,4600000,24,100,34,0,7,90,15,5,14,寿命,1,0,95
sim_544,平成,コミュ,男,89,3820000,0,100,34,0,9,12,100,9,12,病死,1,0,89
sim_545,近未来,センス,女,92,9160000,0,100,34,0,15,10,5,93,13,病死,1,0,92
sim_546,令和,コミュ,男,89,4400000,0,100,34,0,11,9,99,5,6,病死,1,0,89
sim_547,令和,コミュ,女,34,50000,100,100,29,0,11,12,53,9,12,老衰,0,0,34
sim_548,昭和,コミュ,女,94,2770000,0,100,34,0,7,7,100,7,14,病死,1,0,94
sim_549,近未来,運,女,94,9620000,0,100,34,50,7,13,13,13,55,病死,1,0,94
sim_550,近未来,頭脳,女,92,9160000,0,100,34,0,97,6,10,12,10,病死,1,0,92
sim_551,昭和,頭脳,女,89,2370000,6,100,34,0,87,13,15,7,14,寿命,1,0,89
sim_552,近未来,センス,女,90,8700000,0,100,34,0,8,13,15,96,9,病死,1,0,90
sim_553,令和,頭脳,男,89,4400000,0,100,34,0,90,10,8,7,11,病死,1,0,89
sim_554,平成,肉体,男,97,4860000,22,100,35,0,9,87,7,15,6,寿命,1,0,97
sim_555,平成,センス,男,91,4080000,2,100,34,0,6,11,8,91,6,寿命,1,0,91
sim_556,令和,コミュ,女,92,4850000,0,100,34,0,13,11,93,7,14,病死,1,0,92
sim_557,令和,頭脳,女,93,5000000,0,100,34,0,90,8,10,12,5,病死,1,0,93
sim_558,近未来,センス,女,93,9390000,0,100,34,0,12,11,12,87,14,病死,1,0,93
sim_559,平成,コミュ,男,93,4340000,0,100,34,0,15,15,96,13,6,病死,1,0,93
sim_560,令和,肉体,女,101,6200000,8,100,35,0,14,100,7,15,14,寿命,1,0,101
sim_561,昭和,肉体,女,87,2210000,42,100,34,0,7,87,11,9,13,寿命,1,0,87
sim_562,近未来,頭脳,男,90,8700000,6,100,34,0,96,13,7,12,5,寿命,1,0,90
sim_563,昭和,肉体,女,15,50000,100,100,28,0,6,36,10,13,6,老衰,0,0,15
sim_564,令和,コミュ,男,95,5300000,0,100,34,0,12,7,96,13,10,病死,1,0,95
sim_565,平成,センス,女,91,4080000,0,100,34,0,11,6,5,91,14,病死,1,0,91
sim_566,近未来,コミュ,女,92,9160000,0,100,34,0,15,10,100,13,5,病死,1,0,92
sim_567,近未来,肉体,女,102,11460000,9,100,35,0,8,94,12,11,12,寿命,1,0,102
sim_568,平成,頭脳,女,84,3170000,23,100,33,0,83,15,13,12,15,寿命,1,0,84
sim_569,近未来,肉体,男,18,50000,100,100,28,0,6,41,15,9,6,老衰,0,0,18
sim_570,平成,コミュ,男,90,3950000,14,100,34,0,7,7,90,14,6,寿命,1,0,90
sim_571,平成,頭脳,男,92,4210000,2,100,34,0,98,5,12,15,6,寿命,1,0,92
sim_572,近未来,運,女,94,9620000,0,100,34,50,12,12,9,10,63,病死,1,0,94
sim_573,平成,コミュ,男,87,3560000,2,100,34,0,14,10,92,8,13,寿命,1,0,87
sim_574,昭和,肉体,男,86,2130000,45,100,34,0,8,88,9,5,10,寿命,1,0,86
